start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
8352,8375,1.15,"[1125, 71, 127]",5,34,39.020860875883585,6.576491222541475,1.6162590219030943,1.0841842854962496,1.4907604210139471,
8384,8408,1.2,"[1125, 71, 127]",4,7,22.888014382628576,5.576491222541475,5.49291282088902,4.260444911678553,1.2892815034016936,
8435,8437,0.1,"[1124, 72, 126]",2,3,15.38284683411905,1.0,0.12740001145187724,0.18123095361845884,,
8439,8440,0.05,"[1124, 72, 128]",2,3,15.89854065323141,3.0,0.0,0.0,,
8440,8452,0.6,"[1124, 72, 128]",2,5,20.53138753764188,1.4142135623730951,1.7152214968702053,1.2092997313839526,1.4183592804633003,
8456,8457,0.05,"[1124, 72, 129]",2,2,5.039962802470046,1.4142135623730951,0.015413647302241049,0.10840839003368834,,
8466,8471,0.25,"[1124, 72, 129]",2,2,5.039962802470046,1.4142135623730951,0.81497835204531,0.9545782796887398,,
8476,8477,0.05,"[1123, 71, 127]",4,40,29.74381123475529,3.8284271247461903,0.006774054094387478,0.10093698254902064,,
8479,8481,0.1,"[1123, 71, 127]",2,2,3.5637918745545254,1.0,0.25656749818133806,0.2674846830292906,,
8486,8517,1.55,"[1123, 71, 127]",5,48,33.30760310930982,4.82842712474619,4.495088006818366,2.9610497742207063,1.518072423487508,
8526,8528,0.1,"[1123, 71, 127]",2,2,3.5637918745545254,1.0,0.1274000159074756,0.19696043267252836,,
8567,8584,0.85,"[1123, 73, 125]",2,19,31.28138748735046,1.4142135623730951,0.0,0.0,,
8585,8593,0.4,"[1123, 73, 125]",2,9,17.38284683411905,1.4142135623730951,0.0,0.0,,
8593,8607,0.7,"[1123, 73, 125]",2,10,20.53138753764188,1.4142135623730951,1.71522782463552,1.2093067642865614,1.4183562643407772,
8622,8654,1.6,"[1122, 73, 126]",7,36,32.98278501835932,8.071067811865476,6.885869046404033,5.081948309373839,1.3549663686470004,
8655,8656,0.05,"[1122, 73, 126]",5,50,46.67974568530353,6.576491222541475,0.07791858094019917,0.042543550134933966,,
8664,8685,1.05,"[1122, 73, 126]",4,17,22.771301228603672,5.99070478491457,5.930645206597561,4.5672606787893315,1.2985125272441487,
8706,8717,0.55,"[1122, 73, 127]",3,8,18.214913796381698,3.6502815398728847,2.1942923571167494,2.243495516085244,0.9780685280555625,
8724,8725,0.05,"[1122, 73, 127]",2,7,19.06193790133015,1.0,0.4079829282943147,0.01991748536310624,,
8725,8744,0.95,"[1122, 73, 127]",4,6,21.950517557588185,4.650281539872885,3.9114189398212376,2.405221564568893,1.6262198033811128,
8744,8759,0.75,"[1122, 73, 127]",3,7,15.89198881833508,2.8284271247461903,2.7415494377884975,2.029213368284896,1.351040497089605,
8776,8781,0.25,"[1122, 73, 124]",2,2,3.5637918745545254,1.0,0.8130584128457877,0.9219928367197416,,
8804,8807,0.15,"[1122, 73, 123]",2,2,3.5637918745545254,1.0,0.32436041423650974,0.43190078619349104,,
8808,8809,0.05,"[1122, 73, 123]",2,2,3.5637918745545254,1.0,0.058717061319120016,0.032059519204034305,,
8815,8825,0.5,"[1122, 74, 122]",3,8,10.196638758964996,2.414213562373095,2.327902191420234,2.1114501225026974,1.102513465324474,
8834,8843,0.45,"[1122, 74, 122]",2,5,9.321001598166195,1.4142135623730951,1.478417255232987,1.5839905148367204,0.933349815788123,
8850,8860,0.5,"[1122, 74, 122]",3,9,12.88479347272072,2.414213562373095,1.6799992661464311,1.5424286278364705,1.0891909264566282,
8865,8874,0.45,"[1123, 74, 122]",3,3,10.196638758964996,2.414213562373095,1.9843853410742072,1.8022369002954037,1.1010679787706863,
8884,8885,0.05,"[1122, 74, 120]",3,3,10.196638758964996,2.414213562373095,0.0,0.09999999211158091,,
8894,8906,0.6,"[1122, 74, 120]",3,3,10.196638758964996,2.414213562373095,2.556216937918386,1.9901642865143963,1.2844250875365586,
8913,8920,0.35,"[1123, 74, 120]",2,2,3.5637918745545254,1.0,0.8645423564554962,0.9816401869149063,,
8921,8927,0.3,"[1123, 74, 120]",2,2,3.5637918745545254,1.0,0.7211643019034282,0.7272258753763439,,
8928,8946,0.9,"[1123, 74, 120]",3,15,16.73874286846618,3.23606797749979,3.999279972616823,2.5899794955266735,1.5441357661418735,
8947,8954,0.35,"[1122, 73, 119]",2,2,6.63284688441047,1.4142135623730951,1.4972289406698271,1.3687586573612343,1.0938589740548306,
8969,8972,0.15,"[1124, 74, 120]",3,3,10.196638758964996,2.414213562373095,0.7724077987030791,1.02914744104588,0.7505317196514747,
8979,8984,0.25,"[1124, 74, 120]",2,2,3.5637918745545254,1.0,0.6688424302189618,0.7357218831499447,,
8990,8991,0.05,"[1126, 74, 120]",2,2,3.5637918745545254,1.0,0.03183468492784282,0.14475562574114068,,
8995,8997,0.1,"[1126, 74, 120]",2,2,3.5637918745545254,1.0,0.14728498089332226,0.20781346233874548,,
9020,9024,0.2,"[1126, 74, 122]",2,2,3.5637918745545254,1.0,0.559300862326319,0.6875783461083372,,
9029,9030,0.05,"[1128, 72, 120]",5,24,25.34249754549075,5.650281539872885,0.006224635157412773,0.0033986511907114552,,
9030,9034,0.2,"[1128, 72, 120]",2,2,3.5637918745545254,1.0,0.5626994963467964,0.6875783090787287,,
9035,9037,0.1,"[1128, 72, 120]",2,2,3.5637918745545254,1.0,0.21571921881452633,0.22522083963467715,,
9039,9067,1.4,"[1128, 72, 120]",6,31,28.906289420045276,6.650281539872885,6.772697518217801,4.4725023514120315,1.5142971397386893,
9074,9080,0.3,"[1129, 72, 119]",2,6,17.632846817355244,1.0,0.3676720079796607,0.3673338814491421,,
9080,9084,0.2,"[1129, 72, 119]",2,2,3.5637918745545254,1.0,0.3623403320635033,0.45263754989689764,,
9087,9088,0.05,"[1129, 72, 117]",2,2,3.5637918745545254,1.0,0.014697839910842739,0.008025021523490366,,
9097,9102,0.25,"[1129, 72, 117]",2,2,3.5637918745545254,1.0,0.8149781163341594,0.9545777099053193,,
9106,9107,0.05,"[1130, 74, 120]",2,6,20.53138753764188,1.4142135623730951,0.012406679721533507,0.10477332677631418,,
